fold,text,intents,intent_span,intent_span_4o
fold0,How long does it usually take to get a new pin?,"['how_long', 'pin', 'arrival', 'new']",new pin/How long,pin/new/get/How long
fold0,"ok, I can make it between 9 05 in the morning and 25 to 7 p.m. any day next week","['make_open_apply_setup_get_activate', 'acknowledge']",ok/between 9 05 in the morning and 25 to 7 p.m.,next week/ok/can
fold0,"Yes, from 25 past 23 on",['affirm'],Yes/25 past 23,from 25 past 23 on/Yes
fold0,Create 6 new standing orders.,"['make_open_apply_setup_get_activate', 'standing_order', 'new']",6/standing orders/Create/new,standing orders/new
fold0,block my card cause I can't find it for last 3 hours,"['card', 'cancel_close_leave_freeze', 'lost_stolen']",can't find it for last 3 hours/block my card,can't find it/last 3 hours/block my card
fold0,open a business one,"['make_open_apply_setup_get_activate', 'business']",open/a business,open/business
fold0,Just enable that standing order to rickelle kawamoto on the 4th of each month,"['make_open_apply_setup_get_activate', 'standing_order']",standing order/enable/Rickelle Kawamoto/4th of each month,standing order/enable
fold0,good bye,['end_call'],good bye,good bye
fold0,"We should stop now, adios.",['end_call'],adios/stop,adios/stop
fold0,Ok 20 to 2 will do,['acknowledge'],Ok/20 to 2,will do/Ok
fold0,why is my cheque payment still pending?,"['cheque', 'wrong_notworking_notshowing', 'transfer_payment_deposit', 'why']",cheque payment/why/still pending,cheque/payment/why
fold0,Is it possible to deposit a cheque under somebody else's name?,"['request_info', 'cheque', 'transfer_payment_deposit']",under somebody else's name/cheque/deposit,cheque/deposit
fold0,When will I get that leaflet?,"['arrival', 'when']",When/will I get that leaflet,When/leaflet/get
fold0,"Yes, thank you, it has arrived","['thank', 'affirm', 'arrival']",it has arrived/Yes/thank you,thank you/it has arrived/Yes
fold0,Can you block my contactless card? My wallet with it inside got stolen last night.,"['contactless', 'lost_stolen', 'cancel_close_leave_freeze', 'card']",block/stolen/contactless card,block/got stolen/contactless card
fold0,"No, it's not lost","['lost_stolen', 'deny']",No/it's not lost,No/not lost
fold0,can i use my credit card in another country?,"['card', 'international', 'credit', 'request_info']",credit card/another country,another country/credit card
fold0,Have I maxed my overdraft limit on the credit card?,"['card', 'credit', 'overdraft', 'limits', 'request_info']",maxed/overdraft limit,overdraft limit/credit card
fold0,show me from the 16th to the 22nd of Apr,['request_info'],from the 16th to the 22nd of Apr/show me,16th/22nd
fold0,"exactly, up to July the 20th 1992, thanks","['thank', 'affirm']",thanks/up to July the 20th 1992,thanks/exactly/up to July the 20th 1992
fold0,how much more have I spent on take out since last week?,"['how_much', 'more_higher_after', 'transfer_payment_deposit']",more/spent on take out/how much/since last week,have I spent on take out since last week/how much/more
