fold,text,intents,intent_span,intent_span_4o
fold0,why don't you offer massages anymore?,"['why', 'spa', 'wrong_notworking_notshowing']",why don't you offer massages anymore/massages,anymore/don't you offer/why/massages
fold0,how do i cancel my restaurant booking of the 20th of April,"['how', 'cancel_close_leave_freeze', 'restaurant', 'booking']",restaurant booking/how do i cancel/20th of April,cancel/how/restaurant booking
fold0,any constraints on the number of nights we can stay during the Christmas time?,"['limits', 'request_info']",number of nights/Christmas time,constraints/Christmas time/number of nights
fold0,"got it, then just rebook me to another hotel","['acknowledge', 'booking', 'change']",rebook/another hotel,got it/rebook/another hotel
fold0,Laters,['end_call'],Laters,Laters
fold0,"Hi, can I get some food delivered now","['greet', 'room_service', 'make_open_apply_setup_get_activate']",food delivered,Hi/get/food delivered
fold0,Speak to someone about room service,"['room_service', 'handoff']",room service,speak to someone/room service
fold0,I'd like to change my current booking to a smaller and cheaper room if possible.,"['change', 'existing', 'less_lower_before', 'booking']",change/smaller and cheaper room/current booking,smaller and cheaper room/change/current booking
fold0,what is the check in time in your hotel,"['when', 'check_in']",check in time,time/check in/hotel
fold0,i slept in and will have to check out later than 6,"['check_out', 'more_higher_after']",slept/later than 6/check out,check out/later than 6
fold0,put more people under the reservation rickelle kawamoto,"['change', 'more_higher_after', 'booking']",put more people/rickelle kawamoto/under the reservation,reservation/more
fold0,Sounds good yeah!,['affirm'],Sounds good,Sounds good yeah
fold0,I wanna open another reservation,"['new', 'booking', 'make_open_apply_setup_get_activate']",open/reservation,reservation/open
fold0,Is it allowed to bring your dog to the pool?,"['request_info', 'pets', 'swimming_pool']",bring your dog/allowed/to the pool,bring your dog/pool
fold0,"no, I'm talking about an existing one, made 3 days ago","['deny', 'existing']",made 3 days ago/existing,3 days ago/no/existing
fold0,wifi is broken,"['wifi', 'wrong_notworking_notshowing']",broken/wifi,wifi/broken
fold0,A room with toilet.,['room_ammenities'],room/toilet,toilet/room
fold0,Is there a gym,"['request_info', 'gym']",gym,gym
fold0,what is the cost of the spa,"['how_much', 'spa']",cost/spa,cost/spa
fold0,i think i dropped my phone,['lost_stolen'],dropped,dropped
fold0,i want to park my car somewhere,"['parking', 'request_info']",park,park
fold0,Could you please cancel the lunch booking for 4 at 11:45 am under shanta ricciardi?,"['cancel_close_leave_freeze', 'restaurant', 'booking']",lunch booking/shanta ricciardi/11:45 am/cancel,cancel/booking
fold0,"change hotel booking, my name is edens","['change', 'booking']",hotel booking/change/my name is edens,booking/change
fold0,can I get an acupuncture session for the 17 Sep at 11 00 in the morning,"['booking', 'make_open_apply_setup_get_activate', 'spa']",11 00 in the morning/acupuncture session/17 Sep,session/17 Sep/11 00 in the morning/get
fold0,what are the restaurant dinner opening hours?,"['restaurant', 'request_info']",restaurant/dinner opening hours,restaurant/opening hours
fold0,I want to order breakfast omelette room service,"['make_open_apply_setup_get_activate', 'room_service']",omelette/breakfast/room service,breakfast omelette
fold0,Can I change the start date and duration of a reservation i made the other day,"['change', 'booking', 'existing']",start date/change/duration,reservation/duration/change/start date
fold0,a table booking for 2 people on the date 1st of Jan and the time 15 to 2 night,"['make_open_apply_setup_get_activate', 'booking', 'restaurant']",date 1st of Jan/2 people/table booking/time 15 to 2 night,time 15 to 2 night/table booking/date 1st of Jan
fold0,I just want to change the number of guests,['change'],number of guests/change,change/number of guests
fold0,"Have you got any availability between 17th May to 21st May, we are three for a four night stay","['booking', 'make_open_apply_setup_get_activate']",three for a four night stay/between 17th May to 21st May/availability,17th May to 21st May/availability/for a four night stay
fold0,I need to book for 4 rooms,"['make_open_apply_setup_get_activate', 'booking']",4 rooms/book,rooms/book
